municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
CAFELANDIA;FALSE;-3,2147282678642;-0,22939912551854;-0,0538534562385401;16607;59,69400095
CAIABU;FALSE;-1,69702433871801;-0,563921442455313;-0,0999453842951425;4072;16,97951687
CAIEIRAS;FALSE;7,26652749132895;0,138183383936953;0,0272887232869892;86529;266,28316081
CAIUA;FALSE;-2,53805714702942;-0,454056128798996;-0,0941202367216846;5039;26,96611521
CAJAMAR;FALSE;7,16050996520619;0,0495393035658963;0,0163857071380477;64114;436,99731143
CAJATI;FALSE;1,53176776171532;0,0573516140886026;0,0152845746049215;28372;100,21657791
CAJOBI;FALSE;-0,51604519837182;-0,112283202170458;-0,0161363824844865;9768;31,98022846
CAJURU;FALSE;-1,65881298342203;-0,125121997060022;-0,0247475217362043;23371;67,02945859
CAMPINA DO MONTE ALEGRE;FALSE;-0,588736577343468;-0,161474636998583;-0,0271616957890106;5567;21,67525113
CAMPINAS;FALSE;-83,4360346496987;-0,115484366205586;-0,0196553193853865;1080113;4244,95949487
CAMPO LIMPO PAULISTA;FALSE;5,81668229708061;0,198976378860457;0,0308634247297865;74074;188,46522536
CAMPOS DO JORDAO;FALSE;1,7111553868974;0,0993423219626977;0,00887324388895154;47789;192,84439922
CAMPOS NOVOS PAULISTA;FALSE;-2,63069600654431;-0,447304054743279;-0,124978135695641;4539;21,04924987
CANANEIA;FALSE;-3,44014186838421;-0,447576605916915;-0,0659001386020494;12226;52,20234648
CANAS;FALSE;-0,214851753948783;-0,0856731011263536;-0,0110417873175529;4385;19,45805944
CANDIDO MOTA;FALSE;-3,13380622057562;-0,13334998484129;-0,0282193249415917;29884;111,05177842
CANDIDO RODRIGUES;FALSE;-0,848951393330987;-0,371830234633166;-0,04937432775605;2668;17,19418637
CANITAR;FALSE;-0,0939731398278738;-0,0368587374647551;-0,00500332642355035;4369;18,7821325
CAPAO BONITO;FALSE;-0,140625406640041;-0,00585948313510428;-0,0011031809474144;46178;127,47265711
CAPELA DO ALTO;FALSE;2,49997721123445;0,343632431471902;0,0429519122597409;17532;58,20409569
CAPIVARI;FALSE;4,4745832669139;0,152834786010535;0,023105721194324;48576;193,65694017
CARAGUATATUBA;FALSE;11,4371887394823;0,0908127890602289;0,0177482549100365;100840;644,4120167
CARAPICUIBA;FALSE;-18,8230027645983;-0,248886765051033;-0,0403497077419228;369584;466,49663202
CARDOSO;FALSE;-2,27192430155955;-0,205703290176531;-0,0542971416266244;11805;41,84242915
CASA BRANCA;FALSE;-5,5040863038357;-0,271589547393383;-0,0572684477137707;28307;96,11027579
CASSIA DOS COQUEIROS;FALSE;-1,32645069146292;-0,532887941940474;-0,085128659575756;2634;15,58171711
CASTILHO;FALSE;-1,12826470113002;-0,0346286681264574;-0,01319942751053;18003;85,4783058
CATANDUVA;FALSE;7,29474299921775;0,131268338541187;0,0174742968060714;112820;417,45559665
CATIGUA;FALSE;-0,67187389743639;-0,183601716390201;-0,0319617372760765;7127;21,02119455
CEDRAL;FALSE;-0,183614088728821;-0,0273130335220712;-0,00491541157846419;7972;37,35477402
CERQUEIRA CESAR;FALSE;-0,0114379169848835;-0,000901655726782769;-0,000170418782843569;17532;67,11652785
CERQUILHO;FALSE;4,85369467586106;0,199235994374221;0,0310793387578492;39617;156,17110498
CESARIO LANGE;FALSE;0,540803836297203;0,0685005700392635;0,00976034899115461;15540;55,40824788
CHARQUEADA;FALSE;0,573274399151426;0,0926414772511698;0,0129451123374148;15085;44,28500767
CHAVANTES;FALSE;-0,265356446735421;-0,0293044889961781;-0,00717116394250007;12114;37,0032604
CLEMENTINA;FALSE;0,567006270551333;0,0917379766657181;0,0204170841655122;7065;27,77116781
COLINA;FALSE;-1,03702703622929;-0,0387674879332183;-0,0132626477342366;17371;78,19155398
COLOMBIA;FALSE;-2,31405698471976;-0,162165070054291;-0,0544914449201816;5994;42,46642731
CONCHAL;FALSE;2,04711114918422;0,155797139205553;0,0211076319382306;25229;96,98440617
CONCHAS;FALSE;-2,01001989705705;-0,252831479905767;-0,0380790054440168;16288;52,78551458
CORDEIROPOLIS;FALSE;1,33125531653288;0,0230131190751103;0,00971858277740376;21080;136,98039591
COROADOS;FALSE;-1,30938307728043;-0,264371061888962;-0,064591972974351;5238;20,27160678
CORONEL MACEDO;FALSE;-2,20120003042734;-0,470218397076572;-0,097703807528749;5001;22,52931678
CORUMBATAI;FALSE;-1,64291336806035;-0,305843153229116;-0,0660942602206127;3874;24,85712621
COSMOPOLIS;FALSE;7,38091823073027;0,281367311427573;0,0432085215346279;58827;170,82089293
COSMORAMA;FALSE;-2,36891737344462;-0,315437898537172;-0,0790830064472732;7214;29,9548219
COTIA;FALSE;20,0025704727304;0,10798604726173;0,025152782022472;201150;795,24286637
CRAVINHOS;FALSE;1,52169255431929;0,0649216578011099;0,0125653759808117;31691;121,10203122
CRISTAIS PAULISTA;FALSE;-0,534107794800493;-0,0775781746235051;-0,0183046668053793;7588;29,17877722
CRUZALIA;TRUE;-1,89129761757111;-0,448699677699105;-0,117187454569271;2274;16,13907926
CRUZEIRO;FALSE;1,77537021190773;0,0556226332124995;0,0096012851332961;77039;184,90964358
CUBATAO;FALSE;4,76601881058571;0,0153309887816662;0,00457373458307613;118720;1042,04096762
CUNHA;FALSE;-5,84862752664424;-0,575203174441094;-0,106033710573407;21866;55,15818974
DESCALVADO;FALSE;-0,0788868658917785;-0,00254451014561073;-0,000710787602916436;31056;110,98514601
DIADEMA;FALSE;6,35376136596773;0,0276538750615074;0,00545473712421531;386089;1164,81531947
DIRCE REIS;TRUE;-1,16975757134269;-0,476068836638761;-0,082883780487651;1689;14,11322655
DIVINOLANDIA;FALSE;-0,937048608418183;-0,162646345477907;-0,0251433926395445;11208;37,268185
DOBRADA;TRUE;-1,60745380501213;-0,403734761875731;-0,0729480690472927;7939;22,03559088
DOIS CORREGOS;FALSE;0,393209034482224;0,0257554917343416;0,00508462427033019;24761;77,33295787
DOLCINOPOLIS;FALSE;-0,745325256394583;-0,388614693211137;-0,0573235619992912;2096;13,00207507
DOURADO;FALSE;-0,393474016237152;-0,0361945499530853;-0,0125358257092565;8609;31,38796162
DRACENA;FALSE;-0,10310431512324;-0,00609585800994395;-0,000868445899490244;43258;118,72278421
DUARTINA;FALSE;-0,294723949858741;-0,0569307095794035;-0,00704346477359818;12251;41,84360387
