municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
TIETE;sim_alt4;FALSE;1,48853032304843;0,0512374253095809;0,00961517365636202;36835;154,8105501
TIMBURI;sim_alt4;FALSE;1,18369909416332;0,293885263360593;0,059806913656585;2646;19,79201102
TORRE DE PEDRA;sim_alt4;FALSE;0,653766427626542;0,428216201893863;0,04860360924333;2254;13,45098518
TORRINHA;sim_alt4;TRUE;0,602236876239371;0,0903111284183124;0,0210527983979603;9330;28,60602495
TRABIJU;sim_alt4;FALSE;2,85737014172872;1,85930616909679;0,206856257936282;1544;13,81331254
TREMEMBE;sim_alt4;FALSE;2,82943238846854;0,239518698841881;0,0232561922390203;40984;121,66361369
TRES FRONTEIRAS;sim_alt4;FALSE;1,69605426076291;0,493025201667974;0,0770151350783526;5427;22,02235001
TUIUTI;sim_alt4;FALSE;2,34987301721731;0,859935083795989;0,107763668034728;5930;21,80580023
TUPA;sim_alt4;FALSE;-0,307863944080445;-0,0116542672397374;-0,00175133520874454;63476;175,78813156
TUPI PAULISTA;sim_alt4;FALSE;2,70512236388591;0,472294646158632;0,0556665444453232;14269;48,59511922
TURIUBA;sim_alt4;FALSE;0,788263820099476;0,267470156260272;0,0462826580562361;1930;17,03151576
TURMALINA;sim_alt4;FALSE;1,15309362981598;0,428200771868849;0,0652502444087271;1978;17,67186683
UBARANA;sim_alt4;FALSE;2,65001578540391;0,392774601563023;0,0936565291129901;5289;28,29504585
UBATUBA;sim_alt4;FALSE;2,79707172962415;0,109250250763976;0,00867682203441267;78801;322,36131138
UBIRAJARA;sim_alt4;FALSE;1,69006855902637;0,409670767318423;0,0788872964043307;4427;21,42383674
UCHOA;sim_alt4;FALSE;2,030950932904;0,323569104804764;0,0513649012289506;9471;39,53966394
UNIAO PAULISTA;sim_alt4;TRUE;0,720749272178831;0,344011990452488;0,0504817238282126;1599;14,27742988
URANIA;sim_alt4;TRUE;0,511849945579986;0,107334528539274;0,0195303497651653;8836;26,20792519
URU;sim_alt4;TRUE;-0,237866547973592;-0,0756247891861109;-0,0170003809259524;1251;13,99183636
URUPES;sim_alt4;FALSE;1,94331189806192;0,244179032146236;0,0397785113718451;12714;48,85330876
VALENTIM GENTIL;sim_alt4;FALSE;2,23599438897032;0,388166707079943;0,0590452956493629;11036;37,86913698
VALINHOS;sim_alt4;FALSE;2,29974344782107;0,0287610721292724;0,00411942150352695;106793;558,26854471
VALPARAISO;sim_alt4;FALSE;-1,21247507999314;-0,0495057753644501;-0,0129261782267968;22576;93,79996614
VARGEM;sim_alt4;FALSE;4,42424388760272;1,37627331337293;0,178774738634516;8801;24,74758974
VARGEM GRANDE DO SUL;sim_alt4;FALSE;1,65650583689647;0,103895182591761;0,0153481487817559;39266;107,92870596
VARGEM GRANDE PAULISTA;sim_alt4;FALSE;3,06509133050971;0,11013165878774;0,0183863190899531;42997;166,70500036
VARZEA PAULISTA;sim_alt4;FALSE;0,774613826753018;0,0183265873053793;0,00289069798864019;107089;267,96774682
VERA CRUZ;sim_alt4;FALSE;1,53721779275103;0,335424545648244;0,0470768063657959;10769;32,65340008
VINHEDO;sim_alt4;FALSE;1,80596273627171;0,012209715618541;0,00373212331158904;63611;483,89685589
VIRADOURO;sim_alt4;FALSE;2,23017174069334;0,331782411907702;0,0366327929549068;17297;60,87910751
VISTA ALEGRE DO ALTO;sim_alt4;FALSE;2,55249517387713;0,231411691306497;0,074871230102899;6886;34,09180229
VITORIA BRASIL;sim_alt4;TRUE;2,16112868746474;1,47408722941749;0,161356817909102;1737;13,39347612
VOTORANTIM;sim_alt4;FALSE;-0,157832024483206;-0,00327527033268516;-0,000460241094744742;108809;342,93335881
VOTUPORANGA;sim_alt4;FALSE;-0,0249507142080105;-0,000708633968262083;-8,24021913460577e-05;84692;302,79187726
ZACARIAS;sim_alt4;FALSE;-0,48151549925679;-0,0801638977485921;-0,0208890053267332;2335;23,05114541
