municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
URU;sim_25_nota;TRUE;8,54006478928057;2,71513840355885;0,610360539499661;51443,7871814414;1251;13,99183636
DOLCINOPOLIS;sim_25_nota;FALSE;14,7465221118478;7,6888782679237;1,01993931101825;52270,0924418682;2096;14,45823487
SANTANA DA PONTE PENSA;sim_25_nota;TRUE;9,03869736934559;4,44358915007749;0,641717390053089;52557,655272953;1641;14,08516819
PAULISTANIA;sim_25_nota;FALSE;15,9840617559058;6,09694169139939;0,963192312380269;52573,7720776124;1779;16,59488095
SANTA SALETE;sim_25_nota;TRUE;9,22417218279273;5,34092969267279;0,633428976631013;54577,8002124893;1447;14,56228326
SAO JOAO DE IRACEMA;sim_25_nota;FALSE;13,1037860308374;4,97575284489228;25,9449017254223;57693,3976913343;1780;0,50506208
NOVA CANAA PAULISTA;sim_25_nota;FALSE;15,7718685323469;8,07788169257226;0,997175446173037;60655,9003943777;2114;15,81654321
TURIUBA;sim_25_nota;FALSE;13,0286989379687;4,42083989135359;0,764975890670152;60871,2462703585;1930;17,03151576
LOURDES;sim_25_nota;FALSE;17,1478991143169;7,82586515369684;1,11967718040759;63751,7663608076;2128;15,31503849
BALBINOS;sim_25_nota;TRUE;14,2910478123601;6,19696807469929;1,07800659320235;75693,3073397531;3702;13,2569206
