municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
CAPELA DO ALTO;sim_25_nota;FALSE;8,34396121209005;1,14691272645719;0,136880365423107;2646,98284810906;17532;60,95805769
CAPIVARI;sim_25_nota;FALSE;3,37745204387358;0,115360946393178;0,0165259170479735;442,861359528752;48576;204,37304835
CARAGUATATUBA;sim_25_nota;FALSE;-7,87025084903634;-0,0624908311373181;-0,0109718576233929;-479,40365116293;100840;717,31252074
CARAPICUIBA;sim_25_nota;FALSE;-30,4335238704345;-0,402406640425177;-0,058896749697363;-490,150893437501;369584;516,72671288
CARDOSO;sim_25_nota;FALSE;5,19093855341394;0,469995034081227;0,110421999763823;3254,80180079884;11805;47,01000312
CASA BRANCA;sim_25_nota;FALSE;-1,64994296009211;-0,0814135602205288;-0,0151975041273124;-417,831211397136;28307;108,56670584
CASSIA DOS COQUEIROS;sim_25_nota;FALSE;5,91947912098276;2,37808994065294;0,326186817037758;14433,7477085208;2634;18,14751183
CASTILHO;sim_25_nota;FALSE;2,19558663983135;0,0673868827212757;0,0238562320819187;791,412780194344;18003;92,03409123
CATANDUVA;sim_25_nota;FALSE;0,747766717362786;0,013456004497367;0,00164082393712544;52,8967469643702;112820;455,72635823
CATIGUA;sim_25_nota;FALSE;6,89259625140823;1,88352681503456;0,294174500855646;6932,69147253967;7127;23,43029811
CEDRAL;sim_25_nota;FALSE;12,3319722353224;1,83441027531425;0,282401203393341;11710,1492575665;7972;43,66827084
CERQUEIRA CESAR;sim_25_nota;FALSE;5,01662916220432;0,395462951796642;0,0741835480991078;1775,07006054732;17532;67,62455141
CERQUILHO;sim_25_nota;FALSE;10,7130184617583;0,439751370557554;0,0649098870433614;1863,64357081535;39617;165,04447858
CESARIO LANGE;sim_25_nota;FALSE;5,13535609572969;0,650466576421936;0,0847829217596975;2207,48493801403;15540;60,57064311
CHARQUEADA;sim_25_nota;FALSE;9,17424397814757;1,4825631775225;0,194970375616225;3896,02798667791;15085;47,05455354
CHAVANTES;sim_25_nota;FALSE;4,18650352408346;0,462334147006002;0,101214539387743;2162,65436844112;12114;41,36266933
CLEMENTINA;sim_25_nota;FALSE;14,4206813651167;2,33317372185404;0,477297428071829;14293,7245040716;7065;30,2131973
COLINA;sim_25_nota;FALSE;3,91130649021274;0,146217525546668;0,04364734247175;1527,56445719735;17371;89,61156095
COLOMBIA;sim_25_nota;FALSE;6,30379034619303;0,441758612621959;0,138911130450417;6635,22654746548;5994;45,38002337
CONCHAL;sim_25_nota;FALSE;5,55271688823442;0,422594252564169;0,0483794898995525;1303,86627408446;25229;114,77419253
CONCHAS;sim_25_nota;FALSE;4,47305039599567;0,562645152402969;0,0774502285180069;1766,06074422283;16288;57,75386957
CORDEIROPOLIS;sim_25_nota;FALSE;6,67051001498291;0,115311645602526;0,0416320257899517;2075,00233769338;21080;160,22544876
COROADOS;sim_25_nota;FALSE;7,82789107178702;1,58049077531818;0,345310202432565;10720,5361544938;5238;22,66915665
CORONEL MACEDO;sim_25_nota;FALSE;3,34127379909661;0,71375994379763;0,12884190920123;3888,94723860421;5001;25,93312859
CORUMBATAI;sim_25_nota;FALSE;4,40707697503095;0,820417159401545;0,166603580950319;6715,48856121144;3874;26,45247449
COSMOPOLIS;sim_25_nota;FALSE;3,14851478017618;0,120024245086441;0,0172810814711002;339,388671458334;58827;182,19431379
COSMORAMA;sim_25_nota;FALSE;4,40938769470146;0,587140777404919;0,138027065424509;4790,17603212912;7214;31,94581933
COTIA;sim_25_nota;FALSE;-20,2837732248922;-0,109504150833792;-0,0229326991600679;-590,047054622933;201150;884,49131449
CRAVINHOS;sim_25_nota;FALSE;1,59210883789838;0,0679259058360834;0,0117289351312788;319,380272490659;31691;135,74197658
CRISTAIS PAULISTA;sim_25_nota;FALSE;7,93151127407226;1,15203742135633;0,246151181044172;6537,02521152047;7588;32,22211342
CRUZALIA;sim_25_nota;TRUE;8,26444434008551;1,96069274201321;0,470502493368342;27366,8696556858;2274;17,56514462
CRUZEIRO;sim_25_nota;FALSE;-1,33832599444736;-0,041929967850428;-0,00660297330757251;-115,582556460771;77039;202,68535584
CUBATAO;sim_25_nota;FALSE;-14,3019625710621;-0,0460055313348243;-0,0138003033345239;-721,36535072016;118720;1036,35131956
CUNHA;sim_25_nota;FALSE;-1,97313415623294;-0,194054592311256;-0,0304470749572525;-539,053434138745;21866;64,80537651
DESCALVADO;sim_25_nota;FALSE;6,03115862363573;0,194536113637494;0,0497577781567723;1415,47147399763;31056;121,21036845
DIADEMA;sim_25_nota;FALSE;-33,3385559729795;-0,145101493195193;-0,0289573201010114;-529,426158271073;386089;1151,29977003
DIRCE REIS;sim_25_nota;TRUE;9,16955987712307;3,73183453574979;0,615988564306806;47004,2207260275;1689;14,8859255
DIVINOLANDIA;sim_25_nota;FALSE;6,78960357461768;1,17849191465047;0,181020941780328;4710,59022952507;11208;37,50728235
DOBRADA;sim_25_nota;TRUE;8,36923690345852;2,10205223799504;0,356553889486178;6179,32493133717;7939;23,47257217
DOIS CORREGOS;sim_25_nota;FALSE;6,50791594219072;0,426273459046019;0,0764733769424722;1766,32584447933;24761;85,10041275
DOLCINOPOLIS;sim_25_nota;FALSE;14,7465221118478;7,6888782679237;1,01993931101825;52270,0924418682;2096;14,45823487
DOURADO;sim_25_nota;FALSE;8,44992025678389;0,777284009141326;0,234034168442039;7447,05381792803;8609;36,10549824
DRACENA;sim_25_nota;FALSE;6,13029547377631;0,362442742793793;0,0483904277780542;1160,64473941001;43258;126,6840521
DUARTINA;sim_25_nota;FALSE;12,8739745084132;2,48681691536232;0,326239593882535;7848,02771334218;12251;39,46171694
DUMONT;sim_25_nota;FALSE;19,8135895770288;3,63162235241174;0,605654546580954;15498,1220062629;8143;32,71434135
ECHAPORA;sim_25_nota;FALSE;6,70445155804135;0,982336785051548;0,245833638285471;6990,55833328261;6318;27,27231149
ELDORADO;sim_25_nota;FALSE;-1,69043731488103;-0,185664166705744;-0,0326270542565669;-531,335219288976;14641;51,81090826
ELIAS FAUSTO;sim_25_nota;FALSE;8,37955708283031;0,711024266319344;0,130903199317435;3180,79166528951;15775;64,01338643
ELISIARIO;sim_25_nota;FALSE;16,5639755788349;7,10249185778479;0,890821068565816;42134,6550133163;3120;18,59405459
EMBAUBA;sim_25_nota;FALSE;10,1627130762815;4,46340490907523;0,649273464891141;31678,7666667545;2423;15,65243865
